Board_key,Board,Algorithm,Time execution,Explored nodes,,,,,
6,"[[0, 0, 8, 0, 3, 0, 0, 4, 0], [2, 3, 0, 6, 0, 0, 7, 0, 5], [9, 6, 0, 1, 0, 5, 0, 0, 0], [0, 0, 9, 0, 2, 4, 5, 0, 0], [4, 0, 2, 0, 7, 0, 0, 0, 0], [5, 0, 6, 0, 0, 0, 0, 0, 0], [8, 9, 0, 0, 0, 0, 0, 0, 0], [0, 4, 0, 7, 8, 0, 0, 9, 0], [0, 2, 1, 3, 6, 0, 0, 0, 8]]",aStarSearch,3.782715797,57,,,,,
7,"[[1, 0, 0, 4, 0, 0, 0, 9, 0], [0, 0, 0, 1, 6, 0, 2, 3, 0], [0, 0, 0, 0, 3, 2, 0, 4, 0], [0, 0, 8, 3, 0, 0, 7, 0, 0], [0, 0, 4, 7, 0, 6, 0, 5, 2], [6, 0, 5, 0, 0, 0, 0, 8, 0], [8, 9, 0, 5, 0, 1, 0, 0, 0], [3, 0, 1, 0, 0, 0, 5, 0, 0], [7, 0, 2, 0, 0, 3, 0, 0, 6]]",depthFirstSearch,16.32519627,488,,,,,
7,"[[1, 0, 0, 4, 0, 0, 0, 9, 0], [0, 0, 0, 1, 6, 0, 2, 3, 0], [0, 0, 0, 0, 3, 2, 0, 4, 0], [0, 0, 8, 3, 0, 0, 7, 0, 0], [0, 0, 4, 7, 0, 6, 0, 5, 2], [6, 0, 5, 0, 0, 0, 0, 8, 0], [8, 9, 0, 5, 0, 1, 0, 0, 0], [3, 0, 1, 0, 0, 0, 5, 0, 0], [7, 0, 2, 0, 0, 3, 0, 0, 6]]",aStarSearch,8.952560663,163,,,,,
8,"[[0, 0, 0, 0, 0, 9, 5, 7, 6], [5, 0, 0, 0, 0, 7, 2, 3, 4], [6, 4, 0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 0, 7, 0, 9, 6, 0], [9, 0, 5, 8, 0, 0, 0, 0, 0], [0, 7, 0, 0, 1, 0, 4, 0, 5], [8, 0, 1, 6, 0, 4, 0, 0, 0], [0, 0, 0, 7, 0, 0, 6, 4, 0], [7, 0, 0, 0, 2, 0, 0, 0, 0]]",depthFirstSearch,TIMEOUT,TIMEOUT,,,,,
8,"[[0, 0, 0, 0, 0, 9, 5, 7, 6], [5, 0, 0, 0, 0, 7, 2, 3, 4], [6, 4, 0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 0, 7, 0, 9, 6, 0], [9, 0, 5, 8, 0, 0, 0, 0, 0], [0, 7, 0, 0, 1, 0, 4, 0, 5], [8, 0, 1, 6, 0, 4, 0, 0, 0], [0, 0, 0, 7, 0, 0, 6, 4, 0], [7, 0, 0, 0, 2, 0, 0, 0, 0]]",aStarSearch,14.93594766,273,,,,,
9,"[[0, 2, 3, 0, 0, 0, 0, 6, 0], [0, 8, 0, 0, 0, 0, 1, 3, 0], [5, 0, 0, 9, 0, 0, 2, 0, 0], [0, 0, 0, 1, 0, 6, 8, 9, 0], [0, 0, 0, 3, 9, 0, 0, 0, 0], [0, 0, 0, 8, 0, 5, 4, 0, 0], [0, 0, 0, 0, 3, 0, 7, 0, 0], [0, 0, 0, 7, 0, 1, 0, 0, 9], [0, 7, 0, 5, 0, 9, 0, 2, 8]]",depthFirstSearch,28.54275942,741,,,,,
9,"[[0, 2, 3, 0, 0, 0, 0, 6, 0], [0, 8, 0, 0, 0, 0, 1, 3, 0], [5, 0, 0, 9, 0, 0, 2, 0, 0], [0, 0, 0, 1, 0, 6, 8, 9, 0], [0, 0, 0, 3, 9, 0, 0, 0, 0], [0, 0, 0, 8, 0, 5, 4, 0, 0], [0, 0, 0, 0, 3, 0, 7, 0, 0], [0, 0, 0, 7, 0, 1, 0, 0, 9], [0, 7, 0, 5, 0, 9, 0, 2, 8]]",aStarSearch,5.132204771,73,,,,,
10,"[[1, 2, 0, 3, 5, 0, 0, 0, 6], [3, 0, 0, 2, 0, 0, 0, 0, 1], [0, 6, 0, 0, 1, 0, 9, 0, 3], [0, 0, 0, 4, 8, 0, 0, 9, 0], [0, 0, 0, 0, 0, 0, 1, 3, 2], [9, 0, 0, 1, 2, 0, 0, 8, 5], [0, 9, 0, 5, 0, 0, 7, 0, 0], [0, 0, 0, 0, 7, 1, 0, 0, 0], [0, 0, 0, 6, 4, 8, 0, 1, 9]]",depthFirstSearch,16.85720968,398,,,,,
10,"[[1, 2, 0, 3, 5, 0, 0, 0, 6], [3, 0, 0, 2, 0, 0, 0, 0, 1], [0, 6, 0, 0, 1, 0, 9, 0, 3], [0, 0, 0, 4, 8, 0, 0, 9, 0], [0, 0, 0, 0, 0, 0, 1, 3, 2], [9, 0, 0, 1, 2, 0, 0, 8, 5], [0, 9, 0, 5, 0, 0, 7, 0, 0], [0, 0, 0, 0, 7, 1, 0, 0, 0], [0, 0, 0, 6, 4, 8, 0, 1, 9]]",aStarSearch,12.21990871,210,,,,,
11,"[[0, 0, 0, 0, 5, 6, 9, 0, 0], [0, 0, 0, 0, 3, 0, 0, 1, 2], [3, 9, 7, 8, 0, 0, 0, 0, 4], [0, 0, 9, 3, 8, 0, 0, 0, 0], [0, 3, 0, 6, 7, 5, 0, 0, 0], [0, 7, 0, 1, 9, 0, 3, 0, 8], [9, 0, 1, 0, 0, 0, 0, 0, 5], [0, 0, 3, 7, 6, 0, 2, 0, 1], [7, 0, 2, 5, 0, 0, 0, 0, 0]]",depthFirstSearch,19.39068174,450,,,,,
11,"[[0, 0, 0, 0, 5, 6, 9, 0, 0], [0, 0, 0, 0, 3, 0, 0, 1, 2], [3, 9, 7, 8, 0, 0, 0, 0, 4], [0, 0, 9, 3, 8, 0, 0, 0, 0], [0, 3, 0, 6, 7, 5, 0, 0, 0], [0, 7, 0, 1, 9, 0, 3, 0, 8], [9, 0, 1, 0, 0, 0, 0, 0, 5], [0, 0, 3, 7, 6, 0, 2, 0, 1], [7, 0, 2, 5, 0, 0, 0, 0, 0]]",aStarSearch,3.892561674,86,,,,,
12,"[[0, 2, 0, 0, 8, 9, 6, 0, 0], [0, 0, 0, 0, 0, 0, 9, 3, 0], [0, 9, 0, 2, 0, 0, 0, 0, 0], [0, 0, 2, 9, 5, 0, 0, 0, 0], [0, 3, 0, 0, 7, 0, 5, 2, 0], [0, 7, 0, 8, 0, 0, 1, 9, 0], [0, 8, 1, 0, 0, 0, 7, 0, 0], [0, 0, 0, 0, 0, 0, 2, 0, 9], [7, 6, 9, 0, 4, 0, 0, 0, 1]]",depthFirstSearch,TIMEOUT,TIMEOUT,,,,,
12,"[[0, 2, 0, 0, 8, 9, 6, 0, 0], [0, 0, 0, 0, 0, 0, 9, 3, 0], [0, 9, 0, 2, 0, 0, 0, 0, 0], [0, 0, 2, 9, 5, 0, 0, 0, 0], [0, 3, 0, 0, 7, 0, 5, 2, 0], [0, 7, 0, 8, 0, 0, 1, 9, 0], [0, 8, 1, 0, 0, 0, 7, 0, 0], [0, 0, 0, 0, 0, 0, 2, 0, 9], [7, 6, 9, 0, 4, 0, 0, 0, 1]]",aStarSearch,4.386268377,58,,,,,
13,"[[0, 0, 0, 0, 0, 5, 3, 6, 0], [0, 0, 5, 0, 0, 0, 0, 0, 2], [0, 7, 0, 0, 2, 3, 0, 0, 0], [0, 0, 3, 0, 0, 0, 0, 0, 0], [4, 0, 6, 5, 0, 0, 0, 0, 3], [0, 5, 7, 0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 5, 2, 0, 0, 1], [0, 0, 1, 0, 0, 0, 6, 2, 9], [0, 0, 0, 3, 1, 9, 0, 0, 0]]",depthFirstSearch,TIMEOUT,TIMEOUT,,,,,
13,"[[0, 0, 0, 0, 0, 5, 3, 6, 0], [0, 0, 5, 0, 0, 0, 0, 0, 2], [0, 7, 0, 0, 2, 3, 0, 0, 0], [0, 0, 3, 0, 0, 0, 0, 0, 0], [4, 0, 6, 5, 0, 0, 0, 0, 3], [0, 5, 7, 0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 5, 2, 0, 0, 1], [0, 0, 1, 0, 0, 0, 6, 2, 9], [0, 0, 0, 3, 1, 9, 0, 0, 0]]",aStarSearch,TIMEOUT,TIMEOUT,,,,,
